State,Grade,Standard ID,Standard Text,Project Name,Course Name,Match Rationale
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",0.10 Scavenger Hunt,CS Adventures with VR,"Matched CSTA 0.14; shared tokens stored, data, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",0.4 Screen Smarties,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",0.4 Screen Smarties,CS Adventures with VR,"Matched CSTA 0.09; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",0.5 Click Clever,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",0.5 Click Clever,CS Adventures with VR,"Matched CSTA 0.09; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",0.7 Respecting Others' Work,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",0.7 Respecting Others' Work,CS Adventures with VR,"Matched CSTA 0.09; shared tokens data, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",0.9 Google Slides Playground,CS Adventures with VR,"Matched CSTA 0.14; shared tokens stored, data, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",1.1 Dinosaur Hero,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",1.2 Find the Fish,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",1.3 Mail Grab!,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",2.1 Animal Rescue,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",2.2 Halloween Parade,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",2.3 Backyard Dance Party,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",3.1 Alien Planet,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",3.2 Alphabet Town,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",3.3 I Spy,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",4.1 The Magic Forest,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",4.1 The Magic Forest,CS Adventures with VR,"Matched CSTA 0.09; shared tokens data, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",4.1 The Magic Forest,CS Adventures with VR,"Matched CSTA 0.09; shared tokens data, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",4.2 Holiday Fun,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",4.2 Holiday Fun,CS Adventures with VR,"Matched CSTA 0.09; shared tokens data, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",4.2 Holiday Fun,CS Adventures with VR,"Matched CSTA 0.09; shared tokens data, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",4.3 Passion Project,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",4.3 Passion Project,CS Adventures with VR,"Matched CSTA 0.09; shared tokens data, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",4.3 Passion Project,CS Adventures with VR,"Matched CSTA 0.09; shared tokens data, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",5.1 Picnic Party,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",5.1 Picnic Party,CS Adventures with VR,"Matched CSTA 0.09; shared tokens data, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",5.1 Picnic Party,CS Adventures with VR,"Matched CSTA 0.09; shared tokens data, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",5.2 Dinosaur Safari,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",5.2 Dinosaur Safari,CS Adventures with VR,"Matched CSTA 0.09; shared tokens data, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",5.2 Dinosaur Safari,CS Adventures with VR,"Matched CSTA 0.09; shared tokens data, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",5.3 Passion Project,CS Adventures with VR,"Matched CSTA 0.11; shared tokens devices, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",5.3 Passion Project,CS Adventures with VR,"Matched CSTA 0.09; shared tokens data, information"
AL,1,DLCS.18.1.16,"Demonstrate how digital devices can save information as data that can be stored, searched, retrieved, and deleted.",5.3 Passion Project,CS Adventures with VR,"Matched CSTA 0.09; shared tokens data, information"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,0.10 Scavenger Hunt,CS Adventures with VR,"Matched CSTA 0.11; shared tokens use, variety"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,0.2 Exploring the World of CS,CS Adventures with VR,"Matched CSTA 0.12; shared tokens use, systems"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,0.4 Screen Smarties,CS Adventures with VR,"Matched CSTA 0.12; shared tokens use, devices"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,0.4 Screen Smarties,CS Adventures with VR,Matched CSTA 0.08; shared tokens devices
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,0.5 Click Clever,CS Adventures with VR,"Matched CSTA 0.12; shared tokens use, devices"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,0.5 Click Clever,CS Adventures with VR,Matched CSTA 0.08; shared tokens devices
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,0.7 Respecting Others' Work,CS Adventures with VR,"Matched CSTA 0.12; shared tokens use, systems"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,0.7 Respecting Others' Work,CS Adventures with VR,Matched CSTA 0.08; shared tokens devices
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,0.9 Google Slides Playground,CS Adventures with VR,"Matched CSTA 0.11; shared tokens use, variety"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,1.1 Dinosaur Hero,CS Adventures with VR,"Matched CSTA 0.12; shared tokens use, systems"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,1.1 Dinosaur Hero,CS Adventures with VR,Matched CSTA 0.08; shared tokens devices
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,1.2 Find the Fish,CS Adventures with VR,"Matched CSTA 0.12; shared tokens use, systems"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,1.2 Find the Fish,CS Adventures with VR,Matched CSTA 0.08; shared tokens devices
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,1.3 Mail Grab!,CS Adventures with VR,"Matched CSTA 0.12; shared tokens use, systems"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,1.3 Mail Grab!,CS Adventures with VR,Matched CSTA 0.08; shared tokens devices
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,2.1 Animal Rescue,CS Adventures with VR,"Matched CSTA 0.12; shared tokens use, systems"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,2.1 Animal Rescue,CS Adventures with VR,Matched CSTA 0.08; shared tokens devices
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,2.2 Halloween Parade,CS Adventures with VR,"Matched CSTA 0.12; shared tokens use, systems"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,2.2 Halloween Parade,CS Adventures with VR,Matched CSTA 0.08; shared tokens devices
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,2.3 Backyard Dance Party,CS Adventures with VR,"Matched CSTA 0.12; shared tokens use, systems"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,2.3 Backyard Dance Party,CS Adventures with VR,Matched CSTA 0.08; shared tokens devices
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,3.1 Alien Planet,CS Adventures with VR,"Matched CSTA 0.12; shared tokens use, systems"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,3.1 Alien Planet,CS Adventures with VR,Matched CSTA 0.08; shared tokens devices
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,3.2 Alphabet Town,CS Adventures with VR,"Matched CSTA 0.12; shared tokens use, systems"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,3.2 Alphabet Town,CS Adventures with VR,Matched CSTA 0.08; shared tokens devices
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,3.3 I Spy,CS Adventures with VR,"Matched CSTA 0.12; shared tokens use, systems"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,3.3 I Spy,CS Adventures with VR,Matched CSTA 0.08; shared tokens devices
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,4.1 The Magic Forest,CS Adventures with VR,"Matched CSTA 0.12; shared tokens use, systems"
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,4.1 The Magic Forest,CS Adventures with VR,Matched CSTA 0.08; shared tokens devices
AL,1,DLCS.18.1.17,Use digital devices with a variety of operating systems.,4.2 Holiday Fun,CS Adventures with VR,"Matched CSTA 0.12; shared tokens use, systems"
